date_mdy,month,journal_entry,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,transcription,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,second_check,journal,transcription_accuracy,...1
1/2/1872,January,Work in shop.,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/3/1872,January,Work in shop.,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/4/1872,January,Work in shop wrote a letter to N H Higgins Ellsworth one to Jordan & Blake,Ellsworth,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,One to Jordan + Blake?,WD,1,NA,NA
1/5/1872,January,Wrote a will for Benj Rand,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
1/6/1872,January,Unwell took sweat at night.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Unwell took sweat at night,NA,1,NA,NA
1/7/1872,January,Unwell staid in house.,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/8/1872,January,Unwell staid in house.,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/9/1872,January,Went to C. J. Guptills first time out since sat.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Matches with records for Charles J Guptill,WD,1,NA,NA
1/10/1872,January,Work around home.,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/11/1872,January,Went up the stream to pile up wood.,Winter Harbor,NA,Up Stream,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/12/1872,January,About home wrote a letter to Amery Otis Ellsworth. Regs one to G H Loomes Ins. Agt. Portsmouth,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,Regs for register?,WD,1,NA,NA
1/13/1872,January,Cleaning road and and cutting wood on home lot.,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/14/1872,January,Went to Mrs. Lydia Biekford funeral.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/15/1872,January,Cutting wood on home lot.,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/16/1872,January,Whites landing cutting wood.,Winter Harbor,NA,Whites Landing,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/17/1872,January,Mending boots.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
1/18/1872,January,Cutting wood at Whites Landing.,Winter Harbor,NA,Whites landing,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/19/1872,January,Cutting wood Whites Landing,Winter Harbor,NA,Whites landing,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/20/1872,January,Cleaning gun & rifle.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/21/1872,January,Meeting forenoon Benj. Rands funeral afternoon,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
1/22/1872,January,Boating and hauling wood,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/23/1872,January,Wrote a letter to Joseph Bunker C Isles. read one to Geo N Loomiss Ins Agt,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,read and write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/24/1872,January,Hewing sill and sleepers for shed floor,Winter Harbor,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
1/25/1872,January,Laying shop floor,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/26/1872,January,Work in shop making improvements thereon,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/27/1872,January,Work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/28/1872,January,Went to meeting,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/29/1872,January,Wrote a letter to Jos. Bunker one to Hale ⌘ Emery went up stream cutting wood,Winter Harbor,NA,Up Stream,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
1/30/1872,January,Cutting wood stopping at camp,Winter Harbor,NA,Camp,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
1/31/1872,January,Cuting wood stopping at camp,Winter Harbor,NA,Camp,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/1/1872,February,Came home from camp read a letter from Joseph Bunker & Emery,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/2/1872,February,Work in shop wrote a letter to Joseph Bunker,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/3/1872,February,work in shop reed a letter from CC Burrill Ellsworth one from George N Loomis,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
2/4/1872,February,Staid at home,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/5/1872,February,Work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/6/1872,February,Work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/7/1872,February,Went arond with CC Burrill in the Insurance business Hilliard Guptill died in the morning,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
2/8/1872,February,building lathe in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
2/9/1872,February,Work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/10/1872,February,Went to C Isles to buy boat in A. G. Brooks took dinner on board on supper & lodging at Joseph Bunkers,Cranberry Isles,NA,NA,NA,NA,NA,NA,NA,confident,1.0,n,boat,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
2/11/1872,February,Breakfast at Joseph Bunkers dinner at Enock Spirlings supper and lodging at John Bulgers,Cranberry Isles,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
2/12/1872,February,Came home in A G Brook very moderate all day,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
2/13/1872,February,work on lathe,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
2/14/1872,February,finished work on lathe,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
2/15/1872,February,made door steps for J. P. Joy.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
2/16/1872,February,mending furniture,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/17/1872,February,unwell unable to work,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/18/1872,February,Went to W. Gouldsboro took supper & lodging with Edward Kingsley,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/19/1872,February,Breakfast dinner & tea with E Kingsley,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/20/1872,February,Went to Ellsworth stopped at City Hotel,Ellsworth,NA,City Hotel,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/21/1872,February,Attend probate bount Entered will of B Rand Took dinner with CC Burrill came to Brasfreet,NA,NA,NA,NA,NA,NA,NA,NA,not confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
2/22/1872,February,Took breakfast with A Robinson came home,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/23/1872,February,Work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/24/1872,February,Cutting wood at the door went to lodge of Good Templar in Evening,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/25/1872,February,Staid at home,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/26/1872,February,Commenced work in Life Ins. with CC Burrill,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/27/1872,February,Seeking custom in the Ins busniness,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
2/28/1872,February,The Same as the day before,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
2/29/1872,February,Insured the life of G. W. Tracy Endowment,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/1/1872,March,Went to W. Gouldboro working in the Insurance business,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/2/1872,March,Went to Ellsworth to see Mr Burrill and back home,Ellsworth,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/3/1872,March,Went to Flora Gerrish in Evening,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/4/1872,March,went to town meeing,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/5/1872,March,seeking business in Insurance,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/6/1872,March,same as yesterday,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/7/1872,March,same as fifth,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/8/1872,March,Went to Prospect in the Insurance business,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
3/9/1872,March,Breakfast with H D Ciombs dinner with Albert Joy wrote letter to CC Burrill came home went to Lodge of Good Lemplars,Winter Harbor,NA,Lodge of Good Templars,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
3/10/1872,March,Staid at home,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/11/1872,March,Left the Ins Business wrote a letter to Dr. G. N. Harden,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/12/1872,March,Went to I Hammonds to see Dr. Stockman,Winter Harbor,NA,I. Hammond's House,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,WD,1,NA,NA
3/13/1872,March,Work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/14/1872,March,same as yesterday,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/15/1872,March,Fobbing read letter from G. N. Harden M D.,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/16/1872,March,Went to District meeting found it to be illegal went to Lodge of Good Templars in evening staid to A. B. Gerrishes all night,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/17/1872,March,breakfast at A. J. Gerrishes dinner with T. Smallidge,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/18/1872,March,work in shop on windmill,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/19/1872,March,same as yesterday,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/20/1872,March,Went to W. Gouldsboro in the Insurance business took dinner with E Kingsley tea with H. Young Lodging Wm Joys,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/21/1872,March,Breakfast at Wm. Joys dinner at Same Woods wrote letter to CC Burrill came home,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,write,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/22/1872,March,Work at home in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/23/1872,March,went to Dristrict meeting,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/24/1872,March,Staid at home,Winter Harbor,NA,Home,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/25/1872,March,work in shop,Winter Harbor,NA,Shop,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/26/1872,March,Read letter from CC Burrill went to West Gouldsboro in the Ins. Busi took tea with Edward Kingsley Lodging with Samuel Wood,West Gouldsboro,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/27/1872,March,Went to Prospect Harbor with CC Burrill took dinner with H D Coombs came home,Prospect Harbor,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/28/1872,March,Went to Prospect Harbor and back.,Prospect Harbor,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/29/1872,March,Went around with C. Burrill Trying to insure,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/30/1872,March,Reed letter from Geo W Tracy. Evening went to Lodge of Good Templars,Winter Harbor,NA,Lodge of Good Templars,NA,NA,NA,NA,NA,confident,NA,NA,NA,read,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
3/31/1872,March,Went to meeting took dinner wtih Thomas Smallidge,NA,NA,NA,NA,NA,NA,NA,NA,confident,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,1,NA,NA
